CapabilityId	StandardId	IsOptional
C1	S1	0
C1	S2	0
C1	S3	0
C1	S4	0
C1	S5	0
C1	S6	0
C1	S7	0
C1	S8	0
C1	S9	0
C1	S10	0
C1	S11	0
C2	S1	0
C2	S2	0
C2	S3	0
C2	S4	0
C2	S5	0
C2	S6	0
C2	S7	0
C2	S8	0
C2	S9	0
C2	S10	0
C2	S11	0
C3	S1	0
C3	S2	0
C3	S3	0
C3	S4	0
C3	S5	0
C3	S6	0
C3	S7	0
C3	S8	0
C3	S9	0
C3	S10	0
C3	S11	0
C4	S1	0
C4	S2	0
C4	S3	0
C4	S4	0
C4	S5	0
C4	S6	0
C4	S7	0
C4	S8	0
C4	S9	0
C4	S10	0
C4	S11	0
C5	S1	0
C5	S2	0
C5	S3	0
C5	S4	0
C5	S5	0
C5	S6	0
C5	S7	0
C5	S8	0
C5	S9	0
C5	S10	0
C5	S11	0
C6	S1	0
C6	S2	0
C6	S3	0
C6	S4	0
C6	S5	0
C6	S6	0
C6	S7	0
C6	S8	0
C6	S9	0
C6	S10	0
C6	S11	0
C7	S1	0
C7	S2	0
C7	S3	0
C7	S4	0
C7	S5	0
C7	S6	0
C7	S7	0
C7	S8	0
C7	S9	0
C7	S10	0
C7	S11	0
C8	S1	0
C8	S2	0
C8	S3	0
C8	S4	0
C8	S5	0
C8	S6	0
C8	S7	0
C8	S8	0
C8	S9	0
C8	S10	0
C8	S11	0
C9	S1	0
C9	S2	0
C9	S3	0
C9	S4	0
C9	S5	0
C9	S6	0
C9	S7	0
C9	S8	0
C9	S9	0
C9	S10	0
C9	S11	0
C10	S1	0
C10	S2	0
C10	S3	0
C10	S4	0
C10	S5	0
C10	S6	0
C10	S7	0
C10	S8	0
C10	S9	0
C10	S10	0
C10	S11	0
C11	S1	0
C11	S2	0
C11	S3	0
C11	S4	0
C11	S5	0
C11	S6	0
C11	S7	0
C11	S8	0
C11	S9	0
C11	S10	0
C11	S11	0
C12	S1	0
C12	S2	0
C12	S3	0
C12	S4	0
C12	S5	0
C12	S6	0
C12	S7	0
C12	S8	0
C12	S9	0
C12	S10	0
C12	S11	0
C13	S1	0
C13	S2	0
C13	S3	0
C13	S4	0
C13	S5	0
C13	S6	0
C13	S7	0
C13	S8	0
C13	S9	0
C13	S10	0
C13	S11	0
C14	S1	0
C14	S2	0
C14	S3	0
C14	S4	0
C14	S5	0
C14	S6	0
C14	S7	0
C14	S8	0
C14	S9	0
C14	S10	0
C14	S11	0
C15	S1	0
C15	S2	0
C15	S3	0
C15	S4	0
C15	S5	0
C15	S6	0
C15	S7	0
C15	S8	0
C15	S9	0
C15	S10	0
C15	S11	0
C16	S1	0
C16	S2	0
C16	S3	0
C16	S4	0
C16	S5	0
C16	S6	0
C16	S7	0
C16	S8	0
C16	S9	0
C16	S10	0
C16	S11	0
C17	S1	0
C17	S2	0
C17	S3	0
C17	S4	0
C17	S5	0
C17	S6	0
C17	S7	0
C17	S8	0
C17	S9	0
C17	S10	0
C17	S11	0
C18	S1	0
C18	S2	0
C18	S3	0
C18	S4	0
C18	S5	0
C18	S6	0
C18	S7	0
C18	S8	0
C18	S9	0
C18	S10	0
C18	S11	0
C19	S1	0
C19	S2	0
C19	S3	0
C19	S4	0
C19	S5	0
C19	S6	0
C19	S7	0
C19	S8	0
C19	S9	0
C19	S10	0
C19	S11	0
C20	S1	0
C20	S2	0
C20	S3	0
C20	S4	0
C20	S5	0
C20	S6	0
C20	S7	0
C20	S8	0
C20	S9	0
C20	S10	0
C20	S11	0
C21	S1	0
C21	S2	0
C21	S3	0
C21	S4	0
C21	S5	0
C21	S6	0
C21	S7	0
C21	S8	0
C21	S9	0
C21	S10	0
C21	S11	0
C22	S1	0
C22	S2	0
C22	S3	0
C22	S4	0
C22	S5	0
C22	S6	0
C22	S7	0
C22	S8	0
C22	S9	0
C22	S10	0
C22	S11	0
C23	S1	0
C23	S2	0
C23	S3	0
C23	S4	0
C23	S5	0
C23	S6	0
C23	S7	0
C23	S8	0
C23	S9	0
C23	S10	0
C23	S11	0
C24	S1	0
C24	S2	0
C24	S3	0
C24	S4	0
C24	S5	0
C24	S6	0
C24	S7	0
C24	S8	0
C24	S9	0
C24	S10	0
C24	S11	0
C25	S1	0
C25	S2	0
C25	S3	0
C25	S4	0
C25	S5	0
C25	S6	0
C25	S7	0
C25	S8	0
C25	S9	0
C25	S10	0
C25	S11	0
C26	S1	0
C26	S2	0
C26	S3	0
C26	S4	0
C26	S5	0
C26	S6	0
C26	S7	0
C26	S8	0
C26	S9	0
C26	S10	0
C26	S11	0
C27	S1	0
C27	S2	0
C27	S3	0
C27	S4	0
C27	S5	0
C27	S6	0
C27	S7	0
C27	S8	0
C27	S9	0
C27	S10	0
C27	S11	0
C28	S1	0
C28	S2	0
C28	S3	0
C28	S4	0
C28	S5	0
C28	S6	0
C28	S7	0
C28	S8	0
C28	S9	0
C28	S10	0
C28	S11	0
C29	S1	0
C29	S2	0
C29	S3	0
C29	S4	0
C29	S5	0
C29	S6	0
C29	S7	0
C29	S8	0
C29	S9	0
C29	S10	0
C29	S11	0
C30	S1	0
C30	S2	0
C30	S3	0
C30	S4	0
C30	S5	0
C30	S6	0
C30	S7	0
C30	S8	0
C30	S9	0
C30	S10	0
C30	S11	0
C31	S1	0
C31	S2	0
C31	S3	0
C31	S4	0
C31	S5	0
C31	S6	0
C31	S7	0
C31	S8	0
C31	S9	0
C31	S10	0
C31	S11	0
C32	S1	0
C32	S2	0
C32	S3	0
C32	S4	0
C32	S5	0
C32	S6	0
C32	S7	0
C32	S8	0
C32	S9	0
C32	S10	0
C32	S11	0
C33	S1	0
C33	S2	0
C33	S3	0
C33	S4	0
C33	S5	0
C33	S6	0
C33	S7	0
C33	S8	0
C33	S9	0
C33	S10	0
C33	S11	0
C34	S1	0
C34	S2	0
C34	S3	0
C34	S4	0
C34	S5	0
C34	S6	0
C34	S7	0
C34	S8	0
C34	S9	0
C34	S10	0
C34	S11	0
C35	S1	0
C35	S2	0
C35	S3	0
C35	S4	0
C35	S5	0
C35	S6	0
C35	S7	0
C35	S8	0
C35	S9	0
C35	S10	0
C35	S11	0
C36	S1	0
C36	S2	0
C36	S3	0
C36	S4	0
C36	S5	0
C36	S6	0
C36	S7	0
C36	S8	0
C36	S9	0
C36	S10	0
C36	S11	0
C37	S1	0
C37	S2	0
C37	S3	0
C37	S4	0
C37	S5	0
C37	S6	0
C37	S7	0
C37	S8	0
C37	S9	0
C37	S10	0
C37	S11	0
C1	S16	0
C1	S17	0
